ID_REF, IDENTIFIER, GSM21832, GSM19135, GSM9514, GSM42864
ACBD3, ACBD3, 489.300, 141.900, 146.900, 519.800
RFPL2, RFPL2, 134.300, 20.000, 33.000, 330.800
ZNF83, ZNF83, 360.100, 14.400, 21.200, 83.600
SPAG11B, SPAG11B, 18.300, 4.100, 3.700, 19.400
PRDM2, PRDM2, 36.900, 4.100, 5.300, 17.200
IPW, IPW, 1.800, 17.100, 44.500, 625.300
GDPD5, GDPD5, 330.700, 45.700, 96.200, 846.900
PDCD4, PDCD4, 230.000, 76.600, 45.300, 129.500
CEP350, CEP350, 462.300, 32.600, 64.700, 190.600
FOXP3, FOXP3, 21.600, 3.300, 21.700, 51.600
SMYD3, SMYD3, 77.500, 38.000, 237.100, 417.500
CST7, CST7, 5655.700, 87.300, 56.100, 43.800
SELL, SELL, 11529.900, 86.600, 26.300, 1384.000
CIAO1, CIAO1, 320.000, 28.400, 49.100, 369.100
LGI2, LGI2, 21.500, 4.600, 5.300, 13.900
WDR45, WDR45, 863.900, 132.700, 158.100, 350.400
ANKRD6, ANKRD6, 103.200, 10.100, 34.000, 91.800
LTBP4, LTBP4, 18.300, 44.100, 28.000, 235.900
AK024527, AK024527, 330.200, 76.800, 61.400, 166.200
PYY, PYY, 111.200, 71.100, 8.800, 21.200
KCNC1, KCNC1, 24.300, 23.500, 14.700, 44.900
SIRT6, SIRT6, 394.300, 120.300, 151.100, 357.200
CCL19, CCL19, 72.500, 311.600, 20.700, 60.700
ARHGEF9, ARHGEF9, 64.300, 58.500, 65.700, 111.400
VWA5A, VWA5A, 220.000, 82.700, 32.900, 131.300
ABR, ABR, 332.600, 86.000, 54.200, 910.700
STK17A, STK17A, 453.900, 72.400, 72.400, 368.600
FOXE1, FOXE1, 3.400, 1.900, 2.500, 3.500
NM_025007, NM_025007, 205.700, 18.500, 5.100, 98.500
CNPY4, CNPY4, 115.200, 6.300, 31.200, 83.500
C2CD3, C2CD3, 334.600, 64.500, 148.500, 277.900
GML, GML, 206.800, 8.200, 62.800, 166.400
CNGA3, CNGA3, 5.800, 1.500, 3.000, 3.100
CD38, CD38, 240.000, 111.500, 17.400, 104.600
AW972351, AW972351, 433.600, 72.100, 75.600, 186.000
ZDHHC6, ZDHHC6, 1010.300, 330.200, 367.200, 586.000
NEFH, NEFH, 58.700, 1.000, 6.000, 122.600
PGBD5, PGBD5, 31.900, 6.900, 38.400, 14.400
CTDSP2, CTDSP2, 871.400, 112.000, 222.900, 645.200
RMND5B, RMND5B, 262.000, 96.000, 179.000, 354.800
ZNF257, ZNF257, 6.100, 2.400, 2.800, 6.900
DUSP4, DUSP4, 19.900, 5.500, 101.600, 370.600
LOC80054, LOC80054, 336.000, 107.400, 162.000, 317.100
LOC652346, LOC652346, 18.300, 4.100, 67.100, 69.000
EXOSC7, EXOSC7, 327.700, 50.900, 84.500, 296.100
ROR2, ROR2, 8.100, 6.500, 33.300, 17.400
FOXM1, FOXM1, 29.600, 69.800, 642.400, 531.700
ZBTB48, ZBTB48, 194.100, 42.900, 29.000, 59.000
AW973791, AW973791, 115.900, 7.200, 14.200, 107.300
BUD31, BUD31, 11.900, 5.300, 10.000, 16.800
AI344415, AI344415, 129.600, 3.500, 21.400, 38.700
MAOA, MAOA, 28.500, 1855.700, 245.400, 78.200
KIAA1661, KIAA1661, 92.700, 3.400, 26.600, 14.500
CCDC41, CCDC41, 114.900, 20.800, 46.900, 78.800
TNNT3, TNNT3, 43.100, 26.200, 57.700, 118.800
FBXO11, FBXO11, 971.400, 60.800, 65.900, 2029.000
GYPC, GYPC, 1226.700, 115.800, 473.900, 70.400
RFXAP, RFXAP, 71.900, 2.000, 27.900, 14.200
C6orf15, C6orf15, 46.500, 12.100, 17.000, 39.600
RNF4, RNF4, 1312.800, 227.600, 313.800, 1667.800
CDK8, CDK8, 95.200, 68.400, 60.000, 148.400
HDAC7, HDAC7, 588.900, 14.000, 83.900, 440.300
PPP1R3D, PPP1R3D, 317.000, 2.200, 29.700, 11.800
GRB2, GRB2, 2932.300, 168.600, 194.700, 559.500
TPM3, TPM3, 130.400, 19.100, 40.800, 182.700
SYT13, SYT13, 247.500, 56.000, 60.400, 248.500
EPB42, EPB42, 265.500, 4.500, 10.300, 10.500
HSPC072, HSPC072, 118.400, 3.400, 28.000, 72.800
EIF1, EIF1, 199.000, 32.600, 11.000, 259.200
CETN3, CETN3, 152.300, 41.600, 428.400, 606.200
FPGT, FPGT, 376.700, 51.900, 40.200, 166.100
CHST15, CHST15, 7578.300, 87.100, 105.000, 1630.400
CDK1, CDK1, 53.500, 80.300, 812.900, 1063.500
NTHL1, NTHL1, 77.200, 23.400, 128.200, 1556.000
POLR2B, POLR2B, 1619.600, 302.200, 362.100, 2009.800
RPS28, RPS28, 16163.900, 3436.200, 7183.700, 21948.600
RPL18AP3, RPL18AP3, 321.900, 42.500, 194.600, 767.100
AA243143, AA243143, 1610.600, 126.100, 325.600, 751.800
GPN2, GPN2, 136.700, 47.400, 162.100, 226.500
GDF10, GDF10, 24.700, 26.600, 32.300, 35.800
COQ9, COQ9, 387.800, 407.700, 748.800, 1443.500
TRAPPC9, TRAPPC9, 733.500, 145.300, 252.100, 610.900
P2RX3, P2RX3, 13.900, 2.800, 4.500, 11.200
GCC2, GCC2, 869.600, 254.200, 111.900, 240.600
RARRES3, RARRES3, 276.500, 344.600, 127.800, 201.700
PLXNA1, PLXNA1, 10.400, 56.400, 96.200, 492.400
WBP4, WBP4, 206.000, 60.800, 151.000, 291.500
KIAA0100, KIAA0100, 852.100, 169.100, 296.700, 1183.300
PMF1, PMF1, 407.400, 80.300, 210.300, 718.700
HS2ST1, HS2ST1, 143.600, 14.900, 24.100, 54.300
CRELD2, CRELD2, 703.000, 344.400, 507.300, 2496.100
C8G, C8G, 4.900, 29.800, 1.400, 4.500
CD82, CD82, 794.200, 100.500, 100.700, 2776.300
PMM1, PMM1, 257.600, 95.600, 186.100, 180.800
CBLL1, CBLL1, 181.700, 6.600, 45.000, 106.900
LIM2, LIM2, 109.900, 34.600, 55.500, 33.700
VAX2, VAX2, 134.700, 19.200, 40.800, 26.200
SETDB1, SETDB1, 262.600, 45.200, 88.000, 221.400
LOC730909, LOC730909, 45.300, 4.900, 3.900, 12.700
GCLM, GCLM, 636.800, 83.400, 244.500, 796.200
CPEB3, CPEB3, 126.600, 24.900, 7.000, 31.100
PPM1A, PPM1A, 281.100, 2.800, 16.600, 100.000
INTS1, INTS1, 394.400, 106.300, 197.500, 748.100
MMP16, MMP16, 64.200, 7.100, 16.400, 156.900
CAMTA1, CAMTA1, 6.800, 11.900, 3.400, 7.400
SAMSN1, SAMSN1, 2359.400, 48.100, 3.800, 60.200
DRD3, DRD3, 13.300, 3.800, 15.000, 25.600
GMPPA, GMPPA, 236.100, 98.500, 111.400, 307.700
C11orf73, C11orf73, 149.500, 28.600, 182.200, 503.900
AIPL1, AIPL1, 88.300, 35.400, 53.600, 90.900
FAM82A2, FAM82A2, 291.200, 376.500, 170.400, 344.400
PTP4A2, PTP4A2, 4674.300, 626.200, 797.200, 4415.000
IL24, IL24, 80.500, 3.700, 35.600, 102.800
BDKRB1, BDKRB1, 80.900, 28.500, 63.500, 117.900
HPCA, HPCA, 12.800, 15.500, 4.100, 26.200
MLF1, MLF1, 99.400, 1.700, 324.600, 1374.000
SEC14L1, SEC14L1, 6447.100, 152.700, 304.400, 1945.900
CHFR, CHFR, 2047.900, 197.800, 168.000, 900.200
EMILIN1, EMILIN1, 5.200, 30.800, 1.900, 822.500
THADA, THADA, 294.500, 50.400, 95.200, 330.300
TAF12, TAF12, 423.100, 9.100, 114.100, 207.700
NDUFS4, NDUFS4, 349.200, 200.600, 733.300, 1602.100
ID1, ID1, 20.500, 656.900, 428.200, 1447.300
PIK3CB, PIK3CB, 202.700, 1.800, 36.900, 61.300
COL18A1, COL18A1, 582.600, 65.200, 66.100, 2900.800
PDZD3, PDZD3, 50.300, 238.400, 13.500, 23.400
TBC1D17, TBC1D17, 174.700, 37.700, 74.300, 185.200
AK027254, AK027254, 23.400, 6.100, 0.500, 84.200
COX8A, COX8A, 2723.400, 1358.600, 3199.100, 6097.000
CDCA4, CDCA4, 336.400, 98.100, 554.700, 714.300
BF229395, BF229395, 15.800, 6.600, 6.200, 11.500
C2orf44, C2orf44, 157.500, 18.000, 72.100, 131.700
C9orf16, C9orf16, 873.200, 173.200, 662.100, 2605.900
ERBB2IP, ERBB2IP, 2677.900, 182.000, 368.200, 753.900
EMX2, EMX2, 3.000, 2.500, 4.800, 5.600
FUS, FUS, 504.500, 105.300, 303.600, 1332.900
NIPSNAP3B, NIPSNAP3B, 82.700, 27.700, 19.300, 100.100
TF, TF, 35.300, 6.100, 5.300, 1.100
CXorf56, CXorf56, 130.900, 18.200, 49.500, 69.700
CLCN4, CLCN4, 84.400, 3.600, 23.000, 136.800
LOC643790, LOC643790, 2113.500, 815.100, 1910.100, 5113.500
PWP2, PWP2, 258.800, 43.900, 128.000, 233.700
MMP15, MMP15, 9.000, 169.600, 13.500, 404.700
MTMR14, MTMR14, 1137.700, 134.300, 213.000, 405.900
NPR1, NPR1, 43.900, 16.500, 24.900, 820.600
DNAL4, DNAL4, 117.500, 42.900, 98.400, 259.700
ELAC2, ELAC2, 122.200, 64.900, 82.400, 225.100
ASS1, ASS1, 155.600, 1283.000, 778.400, 610.600
IPP, IPP, 94.000, 37.400, 51.800, 285.900
TMEM59, TMEM59, 5784.400, 1313.000, 650.900, 2727.800
POLR2J, POLR2J, 1951.900, 381.600, 1579.500, 2698.800
SEC23IP, SEC23IP, 203.200, 87.300, 183.700, 843.600
RGS4, RGS4, 44.900, 10.900, 31.500, 2104.300
UQCRC1, UQCRC1, 1053.700, 1008.600, 1659.100, 2585.000
SNX6, SNX6, 1151.500, 172.700, 150.000, 1207.700
DDX18, DDX18, 553.400, 205.800, 410.200, 851.400
ADAM23, ADAM23, 84.100, 56.100, 63.200, 424.700
POLG, POLG, 48.600, 4.100, 5.300, 19.800
ZNHIT2, ZNHIT2, 30.900, 9.500, 13.400, 29.900
TFR2, TFR2, 139.500, 4.600, 8.500, 90.000
NCDN, NCDN, 71.000, 3.600, 10.300, 28.500
RAG1, RAG1, 11.000, 2.200, 14.800, 99.600
TMEM104, TMEM104, 269.700, 51.000, 36.400, 157.500
POMT1, POMT1, 80.800, 35.600, 73.300, 179.800
HLA-J, HLA-J, 10200.400, 961.400, 1424.700, 589.300
CYP1A1, CYP1A1, 27.600, 34.800, 28.700, 530.300
SNAPC1, SNAPC1, 58.800, 15.300, 372.000, 291.700
OGFOD2, OGFOD2, 515.800, 161.100, 293.200, 376.600
GNA11, GNA11, 186.500, 736.100, 218.300, 1277.100
BF510692, BF510692, 114.000, 116.100, 46.400, 73.000
CCDC52, CCDC52, 4.800, 1.400, 15.800, 16.800
LOC654342, LOC654342, 14.400, 37.700, 449.800, 267.500
NME1-NME2, NME1-NME2, 1468.400, 660.400, 3551.300, 7041.500
CAPN1, CAPN1, 478.800, 216.300, 154.400, 656.600
DDHD2, DDHD2, 162.000, 144.700, 107.600, 457.000
GRIK2, GRIK2, 3.700, 10.000, 4.700, 12.900
CELA3A, CELA3A, 128.200, 39.100, 67.400, 122.000
UPF3A, UPF3A, 20.600, 2.400, 5.300, 31.900
LAGE3, LAGE3, 13.900, 1.800, 11.400, 25.600
AA365670, AA365670, 215.600, 44.300, 55.100, 167.700
GNRHR, GNRHR, 198.100, 31.300, 23.200, 108.200
SUZ12P, SUZ12P, 53.300, 8.700, 15.700, 208.800
UNC13B, UNC13B, 139.200, 234.300, 115.900, 279.000
TTLL4, TTLL4, 336.100, 40.800, 56.300, 129.000
PPBP, PPBP, 9885.000, 13.700, 4.300, 2.900
AI393960, AI393960, 115.000, 4.900, 40.200, 88.200
HTR3A, HTR3A, 29.500, 1.800, 6.000, 20.300
ZBED1, ZBED1, 855.800, 251.200, 123.500, 332.000
SDC2, SDC2, 12.300, 55.800, 78.000, 231.500
ANKRD49, ANKRD49, 884.500, 174.900, 175.900, 331.900
BTF3, BTF3, 122.600, 6.200, 47.000, 91.200
COX7A2, COX7A2, 1032.500, 325.200, 621.700, 1854.700
SARS, SARS, 1349.300, 492.900, 1179.800, 1779.200
AK024231, AK024231, 7.100, 1.900, 4.400, 9.400
CACNB1, CACNB1, 176.700, 19.600, 44.900, 205.600
QKI, QKI, 568.200, 41.700, 139.500, 1110.800
SETMAR, SETMAR, 8.200, 19.500, 16.000, 392.200
KDM6A, KDM6A, 408.000, 108.800, 107.300, 217.000
LAMB4, LAMB4, 87.100, 2.700, 16.300, 11.400
MAN2B1, MAN2B1, 1989.700, 235.200, 221.700, 490.000
EML3, EML3, 821.900, 97.300, 119.500, 687.600
ACADL, ACADL, 7.600, 8.100, 4.300, 19.100
OFD1, OFD1, 583.900, 257.900, 195.100, 340.900
PDP1, PDP1, 382.700, 36.600, 189.700, 126.200
AHCYL2, AHCYL2, 30.800, 74.800, 62.200, 93.000
CGA, CGA, 100.300, 4.600, 12.000, 18.400
PEX16, PEX16, 1031.300, 283.000, 347.400, 722.600
KDM4B, KDM4B, 35.500, 2.900, 4.600, 23.100
GNG12, GNG12, 144.300, 510.200, 482.400, 2359.200
HABP4, HABP4, 43.600, 10.800, 3.000, 46.600
CNTN2, CNTN2, 28.300, 3.200, 9.000, 18.100
ASNSD1, ASNSD1, 523.000, 73.900, 279.200, 910.200
FUT4, FUT4, 148.600, 23.300, 23.300, 75.200
DBH, DBH, 17.000, 2.500, 5.400, 7.800
CD53, CD53, 16260.100, 717.700, 105.400, 205.200
HIST1H2BJ, HIST1H2BJ, 8.400, 1.800, 4.000, 6.500
TFAP2B, TFAP2B, 13.700, 3.700, 4.000, 9.100
M76729, M76729, 78.000, 5.100, 8.100, 18.000
BE312027, BE312027, 998.600, 87.500, 116.500, 607.400
TMEM11, TMEM11, 702.100, 43.400, 255.500, 476.800
ARAP1, ARAP1, 2114.900, 128.700, 153.400, 321.000
CDH8, CDH8, 8.300, 10.300, 15.200, 38.400
C3orf32, C3orf32, 49.500, 95.200, 11.400, 136.200
AGPS, AGPS, 217.500, 71.400, 249.500, 282.300
PP14571, PP14571, 16.600, 20.000, 2.200, 24.500
PCCB, PCCB, 165.800, 139.100, 442.000, 1073.800
IPO13, IPO13, 343.900, 104.200, 170.800, 473.900
PECI, PECI, 116.000, 269.800, 188.400, 1055.200
UNG, UNG, 121.000, 77.600, 417.400, 482.000
C6orf105, C6orf105, 315.500, 182.900, 88.900, 184.200
GSTP1, GSTP1, 1143.500, 516.800, 1002.700, 3143.400
SUV420H1, SUV420H1, 1882.400, 262.300, 94.400, 719.500
ARHGAP15, ARHGAP15, 3427.700, 124.000, 2.700, 9.900
LTBR, LTBR, 515.100, 80.600, 142.100, 597.400
TDRKH, TDRKH, 50.800, 32.500, 51.800, 67.300
NM_024977, NM_024977, 50.000, 0.800, 0.600, 6.800
HSPC157, HSPC157, 193.400, 29.700, 124.300, 38.000
PSG4, PSG4, 202.000, 57.800, 63.100, 188.900
DUX1, DUX1, 19.100, 8.000, 1.000, 4.900
SLC9A3R1, SLC9A3R1, 2267.000, 970.100, 181.400, 1145.400
ANKLE2, ANKLE2, 26.900, 12.300, 36.800, 24.500
SLC9A3, SLC9A3, 9.100, 28.900, 7.200, 13.500
OSBP, OSBP, 704.200, 239.200, 224.400, 775.300
PRR5, PRR5, 254.100, 165.700, 72.000, 941.100
LILRA6, LILRA6, 7823.700, 23.600, 16.800, 97.800
CHMP7, CHMP7, 532.400, 145.900, 90.300, 475.900
SPRR2B, SPRR2B, 28.900, 11.000, 4.400, 32.300
ADRA1A, ADRA1A, 4.700, 8.100, 2.200, 20.900
ASAH1, ASAH1, 2264.600, 76.700, 99.200, 173.500
OVCA2, OVCA2, 181.700, 24.100, 64.800, 107.500
FKBP4, FKBP4, 330.700, 326.400, 406.300, 653.300
ZNF350, ZNF350, 331.900, 23.700, 27.600, 79.800
DOM3Z, DOM3Z, 220.600, 94.100, 173.400, 383.700
GIPR, GIPR, 6.200, 6.400, 7.300, 11.300
AHI1, AHI1, 181.400, 73.200, 101.500, 568.900
BST1, BST1, 3019.400, 28.500, 5.400, 69.500
NCR2, NCR2, 23.900, 4.600, 4.300, 12.500
NADSYN1, NADSYN1, 491.800, 86.700, 50.200, 208.900
UBE2W, UBE2W, 518.500, 16.800, 57.100, 211.400
RGS14, RGS14, 1911.400, 38.800, 35.700, 92.600
IL18BP, IL18BP, 33.100, 5.900, 41.100, 32.300
NM_001272, NM_001272, 38.800, 4.200, 11.500, 1.600
KRT15, KRT15, 12.600, 8.500, 2.100, 13.600
SCN11A, SCN11A, 104.600, 12.500, 20.700, 55.700
LOC100130354, LOC100130354, 11.600, 3.100, 5.000, 7.900
GFI1, GFI1, 31.000, 21.600, 7.600, 7.300
FHL1, FHL1, 192.300, 81.400, 355.400, 403.200
SMC6, SMC6, 287.500, 64.200, 240.700, 342.100
GATA1, GATA1, 236.800, 13.700, 34.500, 45.800
OSGEP, OSGEP, 262.900, 42.500, 104.700, 176.200
ARMC6, ARMC6, 210.500, 24.400, 107.800, 240.200
HK3, HK3, 4869.300, 4.100, 7.200, 26.500
PSMD5, PSMD5, 7.500, 5.600, 20.600, 17.500
RSU1, RSU1, 76.800, 4.900, 8.900, 41.400
RPL4, RPL4, 8871.900, 2693.500, 6188.400, 22260.500
MAD2L1, MAD2L1, 46.200, 41.200, 479.500, 555.200
RBPMS, RBPMS, 9.400, 41.400, 106.900, 640.300
EIF4A3, EIF4A3, 842.500, 478.000, 704.000, 3241.200
E4F1, E4F1, 337.900, 36.300, 30.700, 192.500
DLEC1, DLEC1, 16.200, 4.200, 13.200, 59.300
PRPF3, PRPF3, 276.300, 60.500, 97.100, 361.300
EMR1, EMR1, 928.600, 44.400, 38.900, 57.800
C16orf62, C16orf62, 379.400, 67.400, 146.300, 672.600
CHMP2B, CHMP2B, 842.600, 302.500, 399.300, 504.000
Z23022, Z23022, 40.100, 6.400, 11.700, 18.100
CAMSAP1, CAMSAP1, 21.100, 7.100, 16.600, 113.500
RPS21, RPS21, 207.900, 61.700, 445.000, 763.500
ACO2, ACO2, 136.400, 33.200, 39.700, 129.300
XCR1, XCR1, 11.000, 6.200, 29.200, 12.600
ARID5A, ARID5A, 639.200, 40.500, 9.100, 232.500
RBM6, RBM6, 1148.800, 202.800, 156.800, 457.100
UBE2N, UBE2N, 261.900, 194.600, 172.300, 629.900
KLF4, KLF4, 1601.700, 867.100, 822.700, 220.400
